pais,año,sexo,valor
Peru,2017,Total,5.791220188140869
Costa Rica,2023,Total,5.488450050354004
Brazil,2022,Total,4.620500087738037
Mexico,2022,Total,4.237679958343506
Uruguay,2022,Total,4.07174015045166
Colombia,2021,Total,3.648309946060181
Panama,2022,Total,3.514529943466187
Honduras,2019,Total,3.434489965438843
Chile,2022,Total,3.186800003051758
Ecuador,2022,Total,2.430589914321899
Argentina,2022,Total,1.655709981918335
Guatemala,2015,Total,1.437049984931946
