año,promedio_lac,costa_rica
2015,17.481832398308647,12.87716960906982
2016,18.79621473948161,13.09072971343994
2017,20.452872395515442,14.39941024780273
2018,17.187602400779724,15.45586967468262
2019,18.927108764648438,15.11316013336182
2020,18.43297905392117,16.22776031494141
2021,19.04531124659947,15.71689033508301
2022,17.401234984397888,15.77507019042969
2023,15.77507019042969,15.77507019042969
